trap_line,trap_name,tunnel_types,internal_baffels,trap_types,trap_types2,lid_securitys,box_condition,note,date_reported
Clinton Valley,C001,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C001a,new_style,galve_mesh_trap_baffle,faulty_design,,65mm_screws,B,,
Clinton Valley,C002,new_style,galve_mesh_trap_baffle,good_design_trigger_bent,,65mm_screws,A,,
Clinton Valley,C002a,new_style,galve_mesh_trap_baffle,faulty_design,,65mm_screws,B,,
Clinton Valley,C003,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C003a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C004,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C004a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C005,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C005a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C006,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C006a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C007,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C007a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C008,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C008a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C009,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C009a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C009b,new_style,Stainless Steel 170mm baffle,good_design,,65mm_screws,B,,
Clinton Valley,C009c,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C009d,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C009e,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C009f,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C010,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C010a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C011,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C011a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C012,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C012a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C013,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C013a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C014,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C014a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C015,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C015a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C016,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C016a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C017,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C017a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C018,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C018a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C019,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C019a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C020,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C020a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C021,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C021a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C022,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C022a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C023,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C023a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C024,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C024a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C025,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C025a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C025b,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C025c,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C026,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C026a,new_style,galve_mesh_trap_baffle,good_design,,shortscrew_and_nail,A,,
Clinton Valley,C027,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C027a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,C,,
Clinton Valley,C028,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C028a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C029,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C029a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C029b,new_style,sainless_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C029c,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C030,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C030a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C031,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C031a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
Clinton Valley,C032,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,A,,
Clinton Valley,C032a,new_style,galve_mesh_trap_baffle,good_design,,65mm_screws,B,,
