deviceID,area,trap_line,code,boxLength,entrance,plateMesh,slideout,end,internal_baffels,weight,design,lid_securitys,rebar,pinkTri,box_condition,note,photo,date_reported,volname
,Clinton,Clinton Valley,C001,,new_style,,,,galve_mesh_trap_baffle,,good_design,65mm_screws,,,B,,,,
,Clinton,Clinton Valley,C001a,,new_style,,,,galve_mesh_trap_baffle,,faulty_design,65mm_screws,,,B,,,,
,Clinton,Clinton Valley,C002,,new_style,,,,galve_mesh_trap_baffle,,good_design_trigger_bent,65mm_screws,,,A,,,,
,Clinton,Clinton Valley,C002a,,new_style,,,,galve_mesh_trap_baffle,,faulty_design,65mm_screws,,,B,,,,
,Clinton,Clinton Valley,C003,,new_style,,,,galve_mesh_trap_baffle,,good_design,65mm_screws,,,B,,,,
,Clinton,Clinton Valley,C003a,,new_style,,,,galve_mesh_trap_baffle,,good_design,65mm_screws,,,A,,,,
,Clinton,Clinton Valley,C004,,new_style,,,,galve_mesh_trap_baffle,,good_design,65mm_screws,,,A,,,,
,Clinton,Clinton Valley,C004a,,new_style,,,,galve_mesh_trap_baffle,,good_design,65mm_screws,,,B,,,,
,Clinton,Clinton Valley,C005,,new_style,,,,galve_mesh_trap_baffle,,good_design,65mm_screws,,,B,,,,
,Clinton,Clinton Valley,C005a,,new_style,,,,galve_mesh_trap_baffle,,good_design,65mm_screws,,,B,,,,
,Clinton,Clinton Valley,C006,,new_style,,,,galve_mesh_trap_baffle,,good_design,65mm_screws,,,A,,,,
,Clinton,Clinton Valley,C006a,,new_style,,,,galve_mesh_trap_baffle,,good_design,65mm_screws,,,A,,,,
,Clinton,Clinton Valley,C007,,new_style,,,,galve_mesh_trap_baffle,,good_design,65mm_screws,,,A,,,,
,Clinton,Clinton Valley,C007a,,new_style,,,,galve_mesh_trap_baffle,,good_design,65mm_screws,,,A,,,,
,Clinton,Clinton Valley,C008,,new_style,,,,galve_mesh_trap_baffle,,good_design,65mm_screws,,,A,,,,
,Clinton,Clinton Valley,C008a,,new_style,,,,galve_mesh_trap_baffle,,good_design,65mm_screws,,,A,,,,
,Clinton,Clinton Valley,C009,,new_style,,,,galve_mesh_trap_baffle,,good_design,65mm_screws,,,A,,,,
,Clinton,Clinton Valley,C009a,,new_style,,,,galve_mesh_trap_baffle,,good_design,65mm_screws,,,B,,,,
,Clinton,Clinton Valley,C009b,,new_style,,,,Stainless Steel 170mm baffle,,good_design,65mm_screws,,,B,,,,
,Clinton,Clinton Valley,C009c,,new_style,,,,galve_mesh_trap_baffle,,good_design,65mm_screws,,,B,,,,
,Clinton,Clinton Valley,C009d,,new_style,,,,galve_mesh_trap_baffle,,good_design,65mm_screws,,,B,,,,
,Clinton,Clinton Valley,C009e,,new_style,,,,galve_mesh_trap_baffle,,good_design,65mm_screws,,,A,,,,
,Clinton,Clinton Valley,C009f,,new_style,,,,galve_mesh_trap_baffle,,good_design,65mm_screws,,,B,,,,
,Clinton,Clinton Valley,C010,,new_style,,,,galve_mesh_trap_baffle,,good_design,65mm_screws,,,B,,,,
,Clinton,Clinton Valley,C010a,,new_style,,,,galve_mesh_trap_baffle,,good_design,65mm_screws,,,B,,,,
,Clinton,Clinton Valley,C011,,new_style,,,,galve_mesh_trap_baffle,,good_design,65mm_screws,,,B,,,,
,Clinton,Clinton Valley,C011a,,new_style,,,,galve_mesh_trap_baffle,,good_design,65mm_screws,,,B,,,,
,Clinton,Clinton Valley,C012,,new_style,,,,galve_mesh_trap_baffle,,good_design,65mm_screws,,,B,,,,
,Clinton,Clinton Valley,C012a,,new_style,,,,galve_mesh_trap_baffle,,good_design,65mm_screws,,,B,,,,
,Clinton,Clinton Valley,C013,,new_style,,,,galve_mesh_trap_baffle,,good_design,65mm_screws,,,B,,,,
,Clinton,Clinton Valley,C013a,,new_style,,,,galve_mesh_trap_baffle,,good_design,65mm_screws,,,B,,,,
,Clinton,Clinton Valley,C014,,new_style,,,,galve_mesh_trap_baffle,,good_design,65mm_screws,,,B,,,,
,Clinton,Clinton Valley,C014a,,new_style,,,,galve_mesh_trap_baffle,,good_design,65mm_screws,,,B,,,,
