deviceId,area,trap_line,code,boxLength,entrance,,,end,internal_baffels,,killtrap,lid_securitys,rebar,pinkTri,box_condition,note,photo,date_reported,volname
,Murchies,AL,AL01,,new_style,,,,galve_mesh_trap_baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,AL,AL02,,new_style,,,,galve_mesh_trap_baffle,,good_design_trigger_bent,65mm_screws kea_brackets,,,A,,,,
,Murchies,AL,AL03,,new_style,,,,galve_mesh_trap_baffle,,good_design,65mm_screws kea_brackets,,,A,,,,
,Murchies,AL,AL04,,new_style,,,,galve_mesh_trap_baffle,,good_design,65mm_screws kea_brackets,,,A,,,,
,Murchies,AL,AL05,,new_style,,,,galve_mesh_trap_baffle,,good_design second_trap_different,65mm_screws kea_brackets,,,A,,,,
,Murchies,AL,AL06,,new_style,,,,galve_mesh_trap_baffle,,faulty_design,65mm_screws kea_brackets,,,A,,,,
,Murchies,AL,AL07,,new_style,,,,galve_mesh_trap_baffle,,faulty_design,65mm_screws kea_brackets,,,A,,,,
,Murchies,AL,AL08,,new_style,,,,galve_mesh_trap_baffle,,faulty_design,65mm_screws kea_brackets,,,A,,,,
,Murchies,AL,AL09,,new_style,,,,galve_mesh_trap_baffle,,faulty_design,65mm_screws kea_brackets,,,A,,,,
,Murchies,AL,AL10,,new_style,,,,galve_mesh_trap_baffle,,faulty_design,65mm_screws kea_brackets,,,A,,,,
,Murchies,AL,AL11,,new_style,,,,galve_mesh_trap_baffle,,good_design,65mm_screws kea_brackets,,,A,,,,
,Murchies,AL,AL12,,new_style,,,,galve_mesh_trap_baffle,,good_design,65mm_screws kea_brackets,,,A,,,,
,Murchies,AL,AL13,,new_style,,,,galve_mesh_trap_baffle,,good_design,65mm_screws kea_brackets,,,A,,,,
,Murchies,AL,AL14,,new_style,,,,galve_mesh_trap_baffle,,good_design,65mm_screws kea_brackets,,,A,,,,
,Murchies,AL,AL15,,new_style,,,,galve_mesh_trap_baffle,,good_design,65mm_screws kea_brackets,,,A,,,,
,Murchies,AL,AL16,,new_style,,,,galve_mesh_trap_baffle,,good_design,65mm_screws kea_brackets,,,A,,,,
,Murchies,AL,AL17,,new_style,,,,galve_mesh_trap_baffle,,good_design,65mm_screws kea_brackets,,,A,,,,
,Murchies,AL,AL18,,new_style,,,,galve_mesh_trap_baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,AL,AL19,,new_style,,,,galve_mesh_trap_baffle,,good_design,65mm_screws kea_brackets,,,A,,,,
,Murchies,AL,AL20,,new_style,,,,galve_mesh_trap_baffle,,good_design,65mm_screws kea_brackets,,,A,,Lid replaced June 2020,,
,Murchies,AL,AL21,,new_style,,,,galve_mesh_trap_baffle,,good_design,65mm_screws kea_brackets,,,A,,,,
,Murchies,AL,AL22,,new_style,,,,galve_mesh_trap_baffle,,good_design,65mm_screws kea_brackets,,,A,,,,
,Murchies,AL,AL23,,new_style,,,,galve_mesh_trap_baffle,,good_design,65mm_screws kea_brackets,,,A,,,,
,Murchies,AL,AL24,,new_style,,,,galve_mesh_trap_baffle,,good_design,65mm_screws kea_brackets,,,A,,,,
,Murchies,AL,AL25,,new_style,,,,galve_mesh_trap_baffle,,good_design,65mm_screws kea_brackets,,,A,,,,
,Murchies,AL,AL26,,new_style,,,,galve_mesh_trap_baffle,,good_design,65mm_screws kea_brackets,,,A,,,,
,Murchies,AL,AL27,,new_style,,,,galve_mesh_trap_baffle,,good_design,65mm_screws kea_brackets,,,A,,,,
,Murchies,AL,AL28,,new_style,,,,galve_mesh_trap_baffle,,good_design second_trap_different,65mm_screws kea_brackets,,,A,,,,
,Murchies,AL,AL29,,new_style,,,,galve_mesh_trap_baffle,,good_design,65mm_screws kea_brackets,,,A,,,,
,Murchies,AL,AL30,,new_style,,,,galve_mesh_trap_baffle,,good_design,65mm_screws kea_brackets,,,A,,,,
,Murchies,AL,AL31,,new_style,,,,galve_mesh_trap_baffle,,good_design,65mm_screws kea_brackets,,,A,,,,
,Murchies,AL,AL32,,new_style,,,,galve_mesh_trap_baffle,,good_design,65mm_screws kea_brackets,,,A,,,,
,Murchies,AL,AL33,,new_style,,,,galve_mesh_trap_baffle,,good_design,65mm_screws kea_brackets,,,A,,,,
,Murchies,AL,AL34,,new_style,,,,galve_mesh_trap_baffle,,good_design,65mm_screws kea_brackets,,,A,,,,
,Murchies,AL,AL35,,new_style,,,,galve_mesh_trap_baffle,,good_design,65mm_screws kea_brackets,,,A,,,,
,Murchies,AL,AL36,,new_style,,,,galve_mesh_trap_baffle,,good_design,65mm_screws kea_brackets,,,A,,,,
,Murchies,AL,AL37,,new_style,,,,galve_mesh_trap_baffle,,good_design,65mm_screws kea_brackets,,,A,,,,
,Murchies,AL,AL38,,new_style,,,,galve_mesh_trap_baffle,,good_design,65mm_screws kea_brackets,,,A,,,,
,Murchies,AL,AL39,,new_style,,,,galve_mesh_trap_baffle,,good_design,65mm_screws kea_brackets,,,A,,,,
,Murchies,AL,AL40,,new_style,,,,galve_mesh_trap_baffle,,faulty_design,65mm_screws kea_brackets,,,A,,,,
,Murchies,AL,AL41,,new_style,,,,galve_mesh_trap_baffle one_missing,,faulty_design,65mm_screws kea_brackets,,,A,,,,
,Murchies,AL,AL42,,new_style,,,,galve_mesh_trap_baffle,,faulty_design,65mm_screws kea_brackets,,,A,,,,
,Murchies,AL,AL43,,new_style,,,,galve_mesh_trap_baffle,,faulty_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,AL,AL44,,new_style,,,,sainless_trap_baffle,,good_design,65mm_screws kea_brackets,,,A,,,,
,Murchies,AP,Ap01,,new_style,,,,galve_mesh_trap_baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,AP,Ap02,,new_style,,,,galve_mesh_trap_baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,AP,Ap03,,new_style,,,,galve_mesh_trap_baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,AP,Ap04,,new_style,,,,galve_mesh_trap_baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,AP,Ap05,,new_style,,,,galve_mesh_trap_baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,AP,Ap06,,new_style,,,,galve_mesh_trap_baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,AP,Ap07,,new_style,,,,galve_mesh_trap_baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,AP,Ap08,,new_style,,,,stainless_trap_baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,AP,Ap09,,new_style,,,,stainless_trap_baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,AP,Ap10,,new_style,,,,stainless_trap_baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,AP,Ap11,,new_style,,,,stainless_trap_baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,AP,Ap12,,new_style,,,,stainless_trap_baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,AP,Ap13,,new_style,,,,stainless_trap_baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,AP,Ap14,,new_style,,,,stainless_trap_baffle,,good_design second_trap_different,kea_brackets 65mm_screws,,,A,,,,
,Murchies,AP,Ap15,,new_style,,,,stainless_trap_baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,AP,Ap16,,new_style,,,,stainless_trap_baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,AP,Ap17,,new_style,,,,stainless_trap_baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,AP,Ap18,,new_style,,,,stainless_trap_baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,AP,AP19,,new_style,,,,stainless_trap_baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,AP,AP20,,new_style,,,,stainless_trap_baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,AP,AP21,,new_style,,,,stainless_trap_baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,AP,AP22,,new_style,,,,stainless_trap_baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,AP,AP23,,new_style,,,,stainless_trap_baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,AP,AP24,,new_style,,,,stainless_trap_baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,AP,AP25,,new_style,,,,stainless_trap_baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,AP,AP26,,new_style,,,,stainless_trap_baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,AP,AP27,,new_style,,,,stainless_trap_baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,AP,AP28,,new_style,,,,stainless_trap_baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,AP,AP29,,new_style,,,,stainless_trap_baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,AP,AP30,,new_style,,,,stainless_trap_baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,AP,AP31,,new_style,,,,stainless_trap_baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,AP,AP32,,new_style,,,,stainless_trap_baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,AP,AP33,,new_style,,,,stainless_trap_baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,AP,AP34,,new_style,,,,stainless_trap_baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,BC,BC01,,oldstyleext,,,,no_trap_baffle_no_slot,,good_design,65mm_screws kea_brackets,,,B,,,,
,Murchies,BC,BC02,,oldstyleext,,,,no_trap_baffle_no_slot,,good_design,kea_brackets 65mm_screws,,,B,,,,
,Murchies,BC,BC03,,oldstyleext,,,,no_trap_baffle_no_slot,,good_design,kea_brackets 65mm_screws,,,B,,,,
,Murchies,BC,BC04,,oldstyleext,,,,no_trap_baffle_no_slot,,good_design,kea_brackets 65mm_screws,,,B,,,,
,Murchies,BC,BC05,,oldstyleext,,,,no_trap_baffle_no_slot,,good_design,kea_brackets 65mm_screws,,,B,,,,
,Murchies,BC,BC06,,oldstyleext,,,,no_trap_baffle_no_slot,,good_design,kea_brackets 65mm_screws,,,B,,,,
,Murchies,BC,BC07,,oldstyleext,,,,no_trap_baffle_no_slot,,good_design,kea_brackets 65mm_screws,,,B,,,,
,Murchies,BC,BC08,,new_style,,,,Stainless Steel 170mm Baffle,,good_design,kea_brackets 65mm_screws,,,A,,,,
,Murchies,BC,BC09,,oldstyleext,,,,no_trap_baffle_no_slot,,good_design,kea_brackets 65mm_screws,,,B,,,,
,Murchies,BC,BC10,,oldstyleext,,,,no_trap_baffle_no_slot,,good_design,kea_brackets 65mm_screws,,,B,,,,
